"time","capacitor.C","capacitor.IC","capacitor.v","inductor.L","inductor.i","resistor.R","resistor.v","resistor.LossPower"
"0.659","0.47148819732072145","10.0","5.43950591384406","0.9199976744117679","5.943567557524962","0.03865993145239214","-0.2297779143565768","1.365700557205499"
"0.66","0.47148819732072145","10.0","5.426893928950095","0.9199976744117679","5.949223338166377","0.03865993145239214","-0.22999656644848365","1.3683009408134528"
"0.661","0.47148819732072145","10.0","5.414269963428028","0.9199976744117679","5.9548651663269405","0.03865993145239214","-0.23021467913843724","1.3708973735786134"
"0.662","0.47148819732072145","10.0","5.401634046896841","0.9199976744117679","5.960493029598773","0.03865993145239214","-0.2304322519467497","1.37348983152335"
"0.663","0.47148819732072145","10.0","5.388986209002293","0.9199976744117679","5.966106915607178","0.03865993145239214","-0.23064928439501622","1.3760782907089533"
"0.664","0.47148819732072145","10.0","5.376326479416859","0.9199976744117679","5.971706812010672","0.03865993145239214","-0.23086577600611577","1.3786627272358516"
"0.665","0.47148819732072145","10.0","5.363654887839669","0.9199976744117679","5.9772927065010295","0.03865993145239214","-0.23108172630421328","1.381243117243841"
"0.666","0.47148819732072145","10.0","5.3509714639964425","0.9199976744117679","5.982864586803312","0.03865993145239214","-0.23129713481476047","1.3838194369123018"
"0.667","0.47148819732072145","10.0","5.33827623763944","0.9199976744117679","5.9884224406759055","0.03865993145239214","-0.23151200106449735","1.38639166246042"
"0.668","0.47148819732072145","10.0","5.325569238547387","0.9199976744117679","5.993966255910561","0.03865993145239214","-0.23172632458145384","1.3889597701474121"
"0.669","0.47148819732072145","10.0","5.312850496525422","0.9199976744117679","5.999496020332427","0.03865993145239214","-0.23194010489495107","1.3915237362727446"
"0.67","0.47148819732072145","10.0","5.300120041405032","0.9199976744117679","6.005011721800085","0.03865993145239214","-0.23215334153560258","1.394083537176352"
"0.671","0.47148819732072145","10.0","5.287377903043996","0.9199976744117679","6.01051334820559","0.03865993145239214","-0.23236603403531608","1.3966391492388617"
"0.672","0.47148819732072145","10.0","5.274624111326317","0.9199976744117679","6.016000887474502","0.03865993145239214","-0.23257818192729451","1.39919054888181"
"0.673","0.47148819732072145","10.0","5.26185869616217","0.9199976744117679","6.021474327565925","0.03865993145239214","-0.2327897847460377","1.4017377125678638"
"0.674","0.47148819732072145","10.0","5.249081687487832","0.9199976744117679","6.026933656472543","0.03865993145239214","-0.2330008420273436","1.4042806168010393"
"0.675","0.47148819732072145","10.0","5.236293115265629","0.9199976744117679","6.032378862220653","0.03865993145239214","-0.23321135330830972","1.40681923812692"
"0.676","0.47148819732072145","10.0","5.223493009483867","0.9199976744117679","6.037809932870209","0.03865993145239214","-0.23342131812733466","1.4093535531328782"
"0.677","0.47148819732072145","10.0","5.210681400156777","0.9199976744117679","6.043226856514849","0.03865993145239214","-0.2336307360241193","1.4118835384482888"
"0.678","0.47148819732072145","10.0","5.197858317324457","0.9199976744117679","6.048629621281935","0.03865993145239214","-0.23383960653966823","1.4144091707447501"
"0.679","0.47148819732072145","10.0","5.1850237910527985","0.9199976744117679","6.054018215332594","0.03865993145239214","-0.23404792921629147","1.416930426736302"
"0.68","0.47148819732072145","10.0","5.17217785143344","0.9199976744117679","6.0593926268617455","0.03865993145239214","-0.23425570359760542","1.4194472831796408"
"0.681","0.47148819732072145","10.0","5.159320528583698","0.9199976744117679","6.064752844098142","0.03865993145239214","-0.23446292922853443","1.4219597168743356"
"0.682","0.47148819732072145","10.0","5.146451852646504","0.9199976744117679","6.070098855304412","0.03865993145239214","-0.23466960565531256","1.4244677046630505"
"0.683","0.47148819732072145","10.0","5.133571853790356","0.9199976744117679","6.07543064877708","0.03865993145239214","-0.2348757324254842","1.4269712234317513"
"0.684","0.47148819732072145","10.0","5.120680562209237","0.9199976744117679","6.0807482128466175","0.03865993145239214","-0.23508130908790623","1.429470250109929"
